source,north,east,west,south,ne,all_india,total_generation,%_north,%_east,%_west,%_south,%_ne,gen_x-1,gen_x-7,gen_x-30,ma_x-7,ma_x-30,date,date,year,month,day,dayofweek,is_weekend
Total,835.0,645.0,1363.0,822.0,56.0,3720,3721.0,22.446236559139784,17.338709677419356,36.63978494623656,22.096774193548388,1.5053763440860215,111.0,515.0,83.0,1063.0,1089.1,2021-06-02,2021-06-02,2021,6,2,2,0
Total,847.0,665.0,1365.0,797.0,57.0,3731,3731.0,22.70168855534709,17.823639774859288,36.58536585365854,21.36156526400429,1.527740552130796,3720.0,424.0,2249.0,1535.4285714285713,1138.5,2021-06-03,2021-06-03,2021,6,3,3,0
Coal,445.0,554.0,1113.0,468.0,12.0,2592,2592.0,17.168209876543212,21.373456790123456,42.93981481481482,18.055555555555554,0.4629629629629629,3731.0,2484.0,449.0,1550.857142857143,1209.9333333333334,2021-06-03,2021-06-03,2021,6,3,3,0
"RES (Wind, Solar, Biomass & Others)",88.0,5.0,111.0,134.0,0.0,339,338.0,25.958702064896755,1.4749262536873156,32.743362831858406,39.52802359882006,0.0,2592.0,83.0,3728.0,1587.4285714285713,1096.9666666666667,2021-06-03,2021-06-03,2021,6,3,3,0
Lignite,22.0,0.0,9.0,55.0,0.0,86,86.0,25.581395348837212,0.0,10.465116279069768,63.95348837209303,0.0,339.0,497.0,94.0,1528.7142857142858,1096.7,2021-06-03,2021-06-03,2021,6,3,3,0
Nuclear,27.0,0.0,33.0,60.0,0.0,119,120.0,22.689075630252102,0.0,27.73109243697479,50.42016806722689,0.0,86.0,122.0,110.0,1528.2857142857142,1097.0,2021-06-03,2021-06-03,2021,6,3,3,0
Hydro,237.0,105.0,57.0,66.0,21.0,486,486.0,48.76543209876543,21.604938271604937,11.728395061728394,13.580246913580247,4.320987654320987,119.0,111.0,528.0,1581.857142857143,1095.6,2021-06-03,2021-06-03,2021,6,3,3,0
"Gas, Naptha & Diesel",28.0,0.0,42.0,13.0,24.0,108,107.0,25.925925925925924,0.0,38.88888888888889,12.037037037037036,22.22222222222222,486.0,3720.0,86.0,1065.857142857143,1096.3333333333333,2021-06-03,2021-06-03,2021,6,3,3,0
Total,859.0,651.0,1397.0,804.0,60.0,3771,3771.0,22.779103686024925,17.263325377883852,37.045876425351366,21.3206046141607,1.591089896579157,108.0,3731.0,2329.0,1071.5714285714287,1144.4,2021-06-04,2021-06-04,2021,6,4,4,0
"RES (Wind, Solar, Biomass & Others)",74.0,5.0,89.0,142.0,0.0,311,310.0,23.79421221864952,1.607717041800643,28.617363344051448,45.659163987138264,0.0,3771.0,2592.0,582.0,745.7142857142857,1135.3666666666666,2021-06-04,2021-06-04,2021,6,4,4,0
"Gas, Naptha & Diesel",29.0,0.0,49.0,12.0,25.0,116,115.0,25.0,0.0,42.241379310344826,10.344827586206897,21.551724137931032,311.0,339.0,2454.0,713.8571428571429,1057.4333333333334,2021-06-04,2021-06-04,2021,6,4,4,0
Coal,469.0,546.0,1159.0,472.0,16.0,2662,2662.0,17.618332081142,20.510894064613073,43.53869271224643,17.731029301277236,0.6010518407212623,116.0,86.0,545.0,1081.857142857143,1128.0,2021-06-04,2021-06-04,2021,6,4,4,0
Hydro,238.0,100.0,58.0,64.0,19.0,479,479.0,49.68684759916493,20.876826722338205,12.10855949895616,13.361169102296449,3.966597077244259,2662.0,119.0,102.0,1133.2857142857142,1140.5666666666666,2021-06-04,2021-06-04,2021,6,4,4,0
Lignite,21.0,0.0,10.0,53.0,0.0,84,84.0,25.0,0.0,11.904761904761903,63.095238095238095,0.0,479.0,486.0,88.0,1075.857142857143,1140.4333333333334,2021-06-04,2021-06-04,2021,6,4,4,0
Nuclear,27.0,0.0,33.0,61.0,0.0,120,121.0,22.5,0.0,27.500000000000004,50.83333333333333,0.0,84.0,108.0,3831.0,1077.5714285714287,1016.7333333333333,2021-06-04,2021-06-04,2021,6,4,4,0
Hydro,250.0,98.0,39.0,55.0,25.0,468,467.0,53.41880341880342,20.94017094017094,8.333333333333332,11.752136752136751,5.3418803418803416,120.0,3771.0,528.0,605.7142857142857,1014.7333333333333,2021-06-05,2021-06-05,2021,6,5,5,1
Nuclear,27.0,0.0,33.0,65.0,0.0,125,125.0,21.6,0.0,26.400000000000002,52.0,0.0,468.0,311.0,115.0,579.1428571428571,1015.0666666666667,2021-06-05,2021-06-05,2021,6,5,5,1
"Gas, Naptha & Diesel",32.0,0.0,40.0,13.0,24.0,109,109.0,29.357798165137616,0.0,36.69724770642202,11.926605504587156,22.018348623853214,125.0,116.0,3707.0,578.1428571428571,895.1333333333333,2021-06-05,2021-06-05,2021,6,5,5,1
Lignite,19.0,0.0,9.0,48.0,0.0,76,76.0,25.0,0.0,11.842105263157894,63.1578947368421,0.0,109.0,2662.0,93.0,208.71428571428572,894.5666666666667,2021-06-05,2021-06-05,2021,6,5,5,1
Total,879.0,626.0,1352.0,774.0,60.0,3690,3691.0,23.821138211382113,16.964769647696475,36.639566395663955,20.975609756097562,1.6260162601626018,76.0,479.0,121.0,667.4285714285714,1013.5333333333333,2021-06-05,2021-06-05,2021,6,5,5,1
