source,north,east,west,south,ne,all_india,total_generation,%_north,%_east,%_west,%_south,%_ne,gen_x-1,gen_x-7,gen_x-30,ma_x-7,ma_x-30,date,date,year,month,day,dayofweek,is_weekend
Hydro,278.0,71.0,27.0,35.0,12.0,423,423.0,65.72104018912529,16.78486997635934,6.382978723404255,8.274231678486997,2.8368794326241136,121.0,113.0,208.0,1000.8571428571429,1114.3,2013-06-06,2013-06-06,2013,6,6,3,0
Wind Gen(MU),29.0,0.0,34.0,82.0,0.0,145,145.0,20.0,0.0,23.448275862068964,56.55172413793104,0.0,423.0,2716.0,432.0,633.5714285714286,1104.7333333333333,2013-06-06,2013-06-06,2013,6,6,3,0
Total,884.0,319.0,805.0,657.0,32.0,2696,2697.0,32.789317507418396,11.832344213649852,29.859050445103858,24.369436201780413,1.1869436201780417,145.0,452.0,2862.0,954.1428571428571,1099.2,2013-06-06,2013-06-06,2013,6,6,3,0
Total,867.0,316.0,768.0,656.0,32.0,2640,2639.0,32.84090909090909,11.969696969696969,29.09090909090909,24.848484848484848,1.2121212121212122,2696.0,101.0,2785.0,1316.857142857143,1094.3666666666666,2013-06-07,2013-06-07,2013,6,7,4,0
Hydro,286.0,66.0,28.0,28.0,13.0,421,421.0,67.93349168646081,15.676959619952493,6.65083135391924,6.65083135391924,3.0878859857482186,2640.0,2737.0,183.0,986.0,1102.3,2013-06-07,2013-06-07,2013,6,7,4,0
Wind Gen(MU),22.0,0.0,23.0,83.0,0.0,128,128.0,17.1875,0.0,17.96875,64.84375,0.0,421.0,456.0,392.0,939.1428571428571,1093.5,2013-06-07,2013-06-07,2013,6,7,4,0
Wind Gen(MU),18.0,0.0,18.0,91.0,0.0,127,127.0,14.173228346456693,0.0,14.173228346456693,71.65354330708661,0.0,128.0,121.0,395.0,940.0,1084.5666666666666,2013-06-08,2013-06-08,2013,6,8,5,1
Total,910.0,309.0,772.0,641.0,32.0,2664,2664.0,34.15915915915916,11.5990990990991,28.97897897897898,24.06156156156156,1.2012012012012012,127.0,423.0,2811.0,1260.142857142857,1079.6666666666667,2013-06-08,2013-06-08,2013,6,8,5,1
Hydro,296.0,58.0,34.0,27.0,13.0,427,428.0,69.3208430913349,13.583138173302109,7.962529274004685,6.323185011709602,3.0444964871194378,2664.0,145.0,164.0,1300.4285714285713,1088.4333333333334,2013-06-08,2013-06-08,2013,6,8,5,1
Total,894.0,311.0,741.0,618.0,33.0,2598,2597.0,34.41108545034642,11.970746728252502,28.52193995381062,23.787528868360276,1.2702078521939952,427.0,2696.0,416.0,1286.4285714285713,1161.1666666666667,2013-06-09,2013-06-09,2013,6,9,6,1
Wind Gen(MU),17.0,0.0,33.0,89.0,0.0,139,139.0,12.23021582733813,0.0,23.741007194244602,64.02877697841727,0.0,2598.0,2640.0,152.0,929.1428571428571,1160.7333333333333,2013-06-09,2013-06-09,2013,6,9,6,1
Hydro,288.0,64.0,25.0,25.0,13.0,414,415.0,69.56521739130434,15.458937198067632,6.038647342995169,6.038647342995169,3.140096618357488,139.0,421.0,2831.0,928.1428571428571,1080.1666666666667,2013-06-09,2013-06-09,2013,6,9,6,1
Hydro,242.0,63.0,28.0,37.0,15.0,385,385.0,62.857142857142854,16.363636363636363,7.2727272727272725,9.61038961038961,3.896103896103896,414.0,128.0,146.0,964.8571428571429,1088.1333333333334,2013-06-10,2013-06-10,2013,6,10,0,0
Wind Gen(MU),10.0,0.0,33.0,89.0,0.0,132,132.0,7.575757575757576,0.0,25.0,67.42424242424242,0.0,385.0,127.0,422.0,965.5714285714286,1078.4666666666667,2013-06-10,2013-06-10,2013,6,10,0,0
Total,909.0,305.0,749.0,648.0,35.0,2646,2646.0,34.35374149659864,11.526832955404384,28.306878306878307,24.489795918367346,1.3227513227513228,132.0,2664.0,2798.0,963.0,1073.4,2013-06-10,2013-06-10,2013,6,10,0,0
Hydro,268.0,59.0,24.0,29.0,15.0,395,395.0,67.84810126582278,14.936708860759493,6.075949367088607,7.341772151898734,3.79746835443038,2646.0,427.0,2714.0,958.4285714285714,996.1,2013-06-11,2013-06-11,2013,6,11,1,0
Total,866.0,316.0,749.0,658.0,35.0,2624,2624.0,33.0030487804878,12.042682926829269,28.544207317073173,25.07621951219512,1.333841463414634,395.0,2598.0,430.0,962.1428571428571,1069.2333333333333,2013-06-11,2013-06-11,2013,6,11,1,0
Wind Gen(MU),6.0,0.0,33.0,97.0,0.0,136,136.0,4.411764705882353,0.0,24.264705882352942,71.32352941176471,0.0,2624.0,139.0,128.0,961.7142857142857,1069.5,2013-06-11,2013-06-11,2013,6,11,1,0
Total,891.0,311.0,690.0,649.0,33.0,2573,2574.0,34.628837932374665,12.087057909055577,26.816945200155462,25.22347454333463,1.2825495530509134,136.0,414.0,437.0,1270.142857142857,1140.7,2013-06-12,2013-06-12,2013,6,12,2,0
Hydro,299.0,55.0,27.0,34.0,14.0,428,429.0,69.85981308411215,12.850467289719624,6.308411214953271,7.943925233644859,3.2710280373831773,2573.0,385.0,118.0,1276.2857142857142,1151.0333333333333,2013-06-12,2013-06-12,2013,6,12,2,0
Wind Gen(MU),3.0,0.0,36.0,103.0,0.0,142,142.0,2.112676056338028,0.0,25.352112676056336,72.53521126760563,0.0,428.0,132.0,2671.0,1277.7142857142858,1066.7333333333333,2013-06-12,2013-06-12,2013,6,12,2,0
Wind Gen(MU),1.0,0.0,31.0,109.0,0.0,141,141.0,0.7092198581560284,0.0,21.98581560283688,77.30496453900709,0.0,142.0,2646.0,2599.0,919.8571428571429,984.8,2013-06-13,2013-06-13,2013,6,13,3,0
Hydro,286.0,52.0,23.0,33.0,13.0,406,407.0,70.44334975369459,12.807881773399016,5.665024630541872,8.12807881773399,3.201970443349754,141.0,395.0,424.0,921.4285714285714,984.2,2013-06-13,2013-06-13,2013,6,13,3,0
Total,831.0,301.0,692.0,641.0,34.0,2499,2499.0,33.25330132052821,12.044817927170868,27.69107643057223,25.650260104041617,1.3605442176870748,406.0,2624.0,113.0,903.5714285714286,1063.7333333333333,2013-06-13,2013-06-13,2013,6,13,3,0
Wind Gen(MU),2.0,0.0,36.0,115.0,0.0,153,153.0,1.3071895424836601,0.0,23.52941176470588,75.16339869281046,0.0,2499.0,136.0,2716.0,906.0,978.3,2013-06-14,2013-06-14,2013,6,14,4,0
Total,854.0,299.0,727.0,645.0,35.0,2559,2560.0,33.372411098085195,11.684251660805002,28.409534974599453,25.205158264947247,1.3677217663149668,153.0,2573.0,452.0,904.0,1048.5333333333333,2013-06-14,2013-06-14,2013,6,14,4,0
Hydro,296.0,52.0,26.0,36.0,13.0,423,423.0,69.97635933806147,12.293144208037825,6.1465721040189125,8.51063829787234,3.0732860520094563,2559.0,428.0,101.0,903.2857142857143,1059.2666666666667,2013-06-14,2013-06-14,2013,6,14,4,0
Total,762.0,300.0,704.0,645.0,35.0,2446,2446.0,31.152902698282908,12.264922322158627,28.781684382665578,26.369582992641043,1.4309076042518398,423.0,142.0,2737.0,1232.4285714285713,1049.5666666666666,2013-06-15,2013-06-15,2013,6,15,5,1
Hydro,267.0,50.0,39.0,36.0,12.0,404,404.0,66.0891089108911,12.376237623762377,9.653465346534654,8.91089108910891,2.9702970297029703,2446.0,141.0,456.0,1270.0,1047.8333333333333,2013-06-15,2013-06-15,2013,6,15,5,1
Wind Gen(MU),3.0,0.0,31.0,112.0,0.0,147,146.0,2.0408163265306123,0.0,21.08843537414966,76.19047619047619,0.0,404.0,406.0,121.0,1233.0,1048.7,2013-06-15,2013-06-15,2013,6,15,5,1
Wind Gen(MU),6.0,0.0,39.0,102.0,0.0,147,147.0,4.081632653061225,0.0,26.53061224489796,69.38775510204081,0.0,147.0,2499.0,423.0,897.0,1039.5,2013-06-16,2013-06-16,2013,6,16,6,1
Hydro,244.0,60.0,38.0,40.0,13.0,395,395.0,61.77215189873417,15.18987341772152,9.620253164556962,10.126582278481013,3.2911392405063293,147.0,153.0,145.0,931.5714285714286,1047.8333333333333,2013-06-16,2013-06-16,2013,6,16,6,1
Total,684.0,299.0,673.0,634.0,33.0,2323,2323.0,29.44468359879466,12.871287128712872,28.971157985363753,27.292294446835992,1.420576840292725,395.0,2559.0,2696.0,897.8571428571429,1035.4,2013-06-16,2013-06-16,2013,6,16,6,1
Wind Gen(MU),7.0,0.0,43.0,104.0,0.0,153,154.0,4.57516339869281,0.0,28.104575163398692,67.97385620915033,0.0,2323.0,423.0,2640.0,859.2857142857143,952.5,2013-06-17,2013-06-17,2013,6,17,0,0
Hydro,169.0,59.0,52.0,56.0,14.0,350,350.0,48.285714285714285,16.857142857142858,14.857142857142858,16.0,4.0,153.0,2446.0,421.0,559.8571428571429,950.1333333333333,2013-06-17,2013-06-17,2013,6,17,0,0
Total,672.0,324.0,677.0,675.0,35.0,2384,2383.0,28.187919463087248,13.590604026845638,28.39765100671141,28.313758389261746,1.4681208053691275,350.0,404.0,128.0,842.7142857142857,1025.3333333333333,2013-06-17,2013-06-17,2013,6,17,0,0
Total,753.0,331.0,695.0,694.0,34.0,2507,2507.0,30.035899481451935,13.203031511767053,27.72237734343837,27.682489030714002,1.3562026326286398,2384.0,147.0,127.0,1179.857142857143,1104.6666666666667,2013-06-18,2013-06-18,2013,6,18,1,0
Hydro,184.0,57.0,63.0,60.0,15.0,378,379.0,48.67724867724868,15.079365079365079,16.666666666666664,15.873015873015872,3.968253968253968,2507.0,147.0,2664.0,1212.857142857143,1028.4666666666667,2013-06-18,2013-06-18,2013,6,18,1,0
Wind Gen(MU),10.0,0.0,43.0,110.0,0.0,163,163.0,6.134969325153374,0.0,26.380368098159508,67.48466257668711,0.0,378.0,395.0,427.0,1179.7142857142858,1019.6666666666666,2013-06-18,2013-06-18,2013,6,18,1,0
Total,808.0,320.0,717.0,699.0,35.0,2579,2579.0,31.32997285769678,12.40791004265219,27.801473439317565,27.103528499418378,1.3571151609150833,163.0,2323.0,2598.0,1216.2857142857142,1019.0333333333333,2013-06-19,2013-06-19,2013,6,19,2,0
Wind Gen(MU),8.0,0.0,23.0,96.0,0.0,126,127.0,6.349206349206349,0.0,18.253968253968253,76.19047619047619,0.0,2579.0,153.0,139.0,1212.4285714285713,1018.6,2013-06-19,2013-06-19,2013,6,19,2,0
Hydro,206.0,59.0,71.0,67.0,16.0,419,419.0,49.16467780429594,14.081145584725538,16.94510739856802,15.990453460620524,3.8186157517899764,126.0,350.0,414.0,1222.2857142857142,1018.7666666666667,2013-06-19,2013-06-19,2013,6,19,2,0
Total,889.0,295.0,726.0,710.0,36.0,2655,2656.0,33.483992467043315,11.11111111111111,27.34463276836158,26.741996233521657,1.3559322033898304,419.0,2384.0,385.0,1261.0,1094.4333333333334,2013-06-20,2013-06-20,2013,6,20,3,0
Wind Gen(MU),18.0,0.0,25.0,98.0,0.0,141,141.0,12.76595744680851,0.0,17.73049645390071,69.50354609929079,0.0,2655.0,2507.0,132.0,923.0,1094.7333333333333,2013-06-20,2013-06-20,2013,6,20,3,0
Hydro,257.0,59.0,66.0,64.0,17.0,464,463.0,55.38793103448276,12.71551724137931,14.224137931034484,13.793103448275861,3.6637931034482754,141.0,378.0,2646.0,935.2857142857143,1022.0,2013-06-20,2013-06-20,2013,6,20,3,0
Hydro,271.0,63.0,61.0,68.0,15.0,478,478.0,56.69456066945606,13.179916317991633,12.761506276150628,14.225941422594143,3.1380753138075312,464.0,163.0,395.0,980.2857142857143,1024.7666666666667,2013-06-21,2013-06-21,2013,6,21,4,0
Wind Gen(MU),30.0,0.0,48.0,102.0,0.0,180,180.0,16.666666666666664,0.0,26.666666666666668,56.666666666666664,0.0,478.0,2579.0,2624.0,637.5714285714286,943.3,2013-06-21,2013-06-21,2013,6,21,4,0
Total,922.0,312.0,733.0,717.0,36.0,2720,2720.0,33.89705882352941,11.470588235294118,26.948529411764703,26.360294117647058,1.3235294117647058,180.0,126.0,136.0,1008.1428571428571,1029.4333333333334,2013-06-21,2013-06-21,2013,6,21,4,0
